"YEAR","PRJ_CD","SAM","AREA","SITE","LAT","LON","GR","GRDEP","GRTEM","SIDEP","EFFDUR","EFFSTART","EFFEND","SITRAN","SITEM","GRDEPMIN","GRDEPMAX"
2019,"LOA_IA19_GL1",341,"EB","EB02",44.0548333333333,-76.8416666666667,"GL6B",29.8,10.1,30,25.03,2019-09-16 11:13:00,2019-09-17 12:15:00,"6.0",19.4,29.7,30
2019,"LOA_IA19_GL1",342,"EB","EB03",43.971,-76.8236666666667,"GL6B",29.1,10.9,25,23.78,2019-09-16 11:52:00,2019-09-17 11:39:00,"6.5",19.4,29,33
2019,"LOA_IA19_GL1",343,"EB","EB03",43.971,-76.8236666666667,"GL6B",29.1,10.9,25,23.78,2019-09-16 11:52:00,2019-09-17 11:39:00,"6.5",19.4,29,33
2019,"LOA_IA19_GL1",344,"EB","EB03",43.971,-76.8236666666667,"GL6B",29.1,10.9,25,23.78,2019-09-16 11:52:00,2019-09-17 11:39:00,"6.5",19.4,29,33
2019,"LOA_IA19_GL1",345,"EB","EB04",43.9913333333333,-76.6053333333333,"GL6B",31.8,9,27.4,23.05,2019-09-09 12:15:00,2019-09-10 11:18:00,"5.5",20.3,29.1,34.1
2019,"LOA_IA19_GL1",346,"EB","EB04",43.9913333333333,-76.6053333333333,"GL6B",31.8,9,27.4,23.05,2019-09-09 12:15:00,2019-09-10 11:18:00,"5.5",20.3,29.1,34.1
2019,"LOA_IA19_GL1",347,"EB","EB04",43.9913333333333,-76.6053333333333,"GL6B",31.8,9,27.4,23.05,2019-09-09 12:15:00,2019-09-10 11:18:00,"5.5",20.3,29.1,34.1
2019,"LOA_IA19_GL1",348,"EB","EB05",43.9991666666667,-76.5678333333333,"GL6B",29.7,9,29.3,23,2019-09-09 11:45:00,2019-09-10 10:45:00,"5.0",29.3,29.1,30.7
2019,"LOA_IA19_GL1",349,"EB","EB05",43.9991666666667,-76.5678333333333,"GL6B",29.7,9,29.3,23,2019-09-09 11:45:00,2019-09-10 10:45:00,"5.0",29.3,29.1,30.7
2019,"LOA_IA19_GL1",350,"EB","EB05",43.9991666666667,-76.5678333333333,"GL6B",29.7,9,29.3,23,2019-09-09 11:45:00,2019-09-10 10:45:00,"5.0",29.3,29.1,30.7
2019,"LOA_IA19_GL1",351,"EB","EB06",44.0241666666667,-76.7005,"GL6B",27.1,9.4,30,22.98,2019-09-09 11:05:00,2019-09-10 10:04:00,"5.0",20.1,26.8,27.8
2019,"LOA_IA19_GL1",352,"EB","EB06",44.0241666666667,-76.7005,"GL6B",27.1,9.4,30,22.98,2019-09-09 11:05:00,2019-09-10 10:04:00,"5.0",20.1,26.8,27.8
2019,"LOA_IA19_GL1",353,"EB","EB06",44.0241666666667,-76.7005,"GL6B",27.1,9.4,30,22.98,2019-09-09 11:05:00,2019-09-10 10:04:00,"5.0",20.1,26.8,27.8
2019,"LOA_IA19_GL1",354,"TR","TR05",44.1073333333333,-77.5075,"GL6B",4.8,11.3,4,23.76,2019-10-21 11:04:00,2019-10-22 10:50:00,"2.0",11.3,4.6,5
2019,"LOA_IA19_GL1",355,"UB","U009",44.0766666666667,-77.581,"GL6B",2.5,11.2,3,23.65,2019-10-21 10:41:00,2019-10-22 10:20:00,"2.8",11.2,1.9,2.8
2019,"LOA_IA19_GL1",356,"BE","BE05",44.1525,-77.337,"GL6B",5.5,12,5,24.03,2019-10-21 11:48:00,2019-10-22 11:50:00,"1.75",12.1,5.3,5.6
2019,"LOA_IA19_GL1",357,"UB","U044",44.1346666666667,-77.419,"GL6B",5.4,11.8,6,23.8,2019-10-21 11:27:00,2019-10-22 11:15:00,"2.0",11.8,5.3,5.6
2019,"LOA_IA19_GL1",358,"HB","HB08",44.1081666666667,-77.0298333333333,"GL6B",6.8,12.6,7.5,22.96,2019-10-22 11:10:00,2019-10-23 10:08:00,"1.5",12.6,6.7,6.8
2019,"LOA_IA19_GL1",359,"HB","HB13",44.0953333333333,-77.069,"GL6B",12.1,13,12.5,23.68,2019-10-22 10:49:00,2019-10-23 10:30:00,"2.5",13.5,12,12.5
2019,"LOA_IA19_GL1",360,"MB","M084",44.0411666666667,-77.1171666666667,"GL6B",10,13.8,12,23.08,2019-10-22 09:56:00,2019-10-23 09:01:00,"2.0",13.7,9.2,10.8
2019,"LOA_IA19_GL1",361,"MB","M073",44.0416666666667,-77.0691666666667,"GL6B",12.4,14,20,23.06,2019-10-22 10:16:00,2019-10-23 09:20:00,"2.0",14,12,12.8
2019,"LOA_IA19_GL1",362,"BB","BB05",44.1533333333333,-77.2263333333333,"GL6B",6.1,11.2,5,23.53,2019-10-28 10:47:00,2019-10-29 10:19:00,"2.75",11.6,6,6.4
2019,"LOA_IA19_GL1",363,"UB","U078",44.1185,-77.293,"GL6B",4.5,11.1,6,23.68,2019-10-28 10:24:00,2019-10-29 10:05:00,"1.25",11.3,4.4,4.6
2019,"LOA_IA19_GL1",364,"DE","DE05",44.173,-77.0563333333333,"GL6B",5.3,11.3,5,23.68,2019-10-28 11:31:00,2019-10-29 11:12:00,"2.5",11.5,5.1,5.5
2019,"LOA_IA19_GL1",365,"MB","M006",44.1431666666667,-77.0593333333333,"GL6B",7,11.3,12,23.6,2019-10-28 11:53:00,2019-10-29 11:29:00,"2.7",11.7,6.8,7.3
